Title,Description,Eligibility,Category,Link,Dates,Location,Cost
"City and County of San Francisco High School Internships","Various high school internships across San Francisco’s city departments. Paid summer or year-round roles where students gain work experience in local government and public service:contentReference[oaicite:12]{index=12}","High school students (ages 14-18) in San Francisco","Government (Local)","https://sf.gov/internships","Summer, School Year","San Francisco, CA","Paid (hourly city intern wages)"
"Bank of America Student Leaders Program","Selective program placing high school juniors and seniors in paid summer internships at local nonprofit organizations, including an all-expenses-paid week in Washington, D.C. for leadership training:contentReference[oaicite:13]{index=13}","Rising high school seniors (typically ages 16-18) in the U.S.","Leadership/Community Service","https://about.bankofamerica.com/studentleaders","Summer (8-week internship + one-week summit)","Local nonprofits nationwide & Washington, D.C.","Paid (internship stipend; D.C. summit expenses covered)"
"Adler Planetarium Teen Internship Program","STEAM-focused internships at Chicago’s Adler Planetarium for teens to gain museum and research experience. Summer interns take on museum roles and can continue in other teen programs throughout the year:contentReference[oaicite:14]{index=14}","Ages 13-18 (high school and some middle school)","STEM/Arts (Museum Science)","https://www.adlerplanetarium.org","Summer (with additional year-round teen opportunities)","Chicago, IL","Paid (stipends for summer interns; some roles volunteer)"
"Georgia Aquarium Beginner Environmental Leadership Program","Four-month program (runs three times a year) empowering teens (15-17) to become environmental conservation leaders; includes volunteering during summer and school-year breaks alongside aquarium staff:contentReference[oaicite:15]{index=15}","Ages 15-17 (high school)","STEM (Environmental Conservation)","https://www.georgiaaquarium.org","Summer, Fall, Winter (4-month sessions)","Atlanta, GA","Unpaid (volunteer program; no cost)"
"Air Force Research Laboratory (AFRL) Scholars Program","Stipend-paid summer research internships for upper-level high school students at AFRL research sites. Interns work on cutting-edge Air Force science and engineering projects under mentorship of laboratory scientists:contentReference[oaicite:16]{index=16}","High school juniors and seniors (ages ~16-18); U.S. citizens","STEM (Defense Research)","https://afrlscholars.usra.edu","Summer","U.S. Air Force Research Labs (multiple locations)","Paid (stipend provided)"
"HOPP Summer Student Program at MSKCC","8-week summer internship at Memorial Sloan Kettering Cancer Center; selected high school students work in biomedical research labs under mentorship, gaining hands-on cancer research experience:contentReference[oaicite:17]{index=17}","High school students (must be at least 16 by start)","STEM (Biomedical Research)","https://www.mskcc.org/HOPP-summer-student","Summer (8 weeks)","New York, NY","Paid (stipend provided)"
"BRAINYAC (Columbia University Zuckerman Institute)","Brain Research Apprenticeships in New York at Columbia (BRAINYAC) prepares NYC youth to become scientists. Students undergo training then are placed in neuroscience labs at Columbia for summer research internships:contentReference[oaicite:18]{index=18}","High school students (NYC residents, application required)","STEM (Neuroscience)","https://zuckermaninstitute.columbia.edu/brainyac","Year-round training + Summer lab placement","New York, NY","Free (no cost; unpaid internship with mentorship)"
"BioBus Summer Research Internships","Hands-on science internships where high school students join scientists in mobile and community labs to perform experiments and engage in research. Interns help with lab projects in biology and gain mentorship from scientists:contentReference[oaicite:19]{index=19}","High school students (priority to NYC students)","STEM (Biology)","https://www.biobus.org","Summer","New York, NY","Free (no cost; unpaid educational experience)"
"Biorocket Research Internship Program","6-month science research internship for NYC public high school students. Participants conduct research projects with scientist mentors, meeting weekly to develop lab skills and present findings:contentReference[oaicite:20]{index=20}","NYC public or charter high school students (must apply)","STEM (Research Training)","https://www.biorocketprogram.com","6-month program (academic year)","New York, NY","Free (no cost; unpaid research experience)"
"HK Maker Lab","Intensive six-week summer design and engineering program in NYC focused on addressing a health problem. High school participants prototype a biomedical device and develop a business plan, culminating in a pitch to industry experts:contentReference[oaicite:21]{index=21}","High school students (must be 16+; application required)","STEM (Biomedical Design)","https://www.hkmakerlab.org","Summer (6 weeks)","New York, NY","Free (no cost to participate)"
"Princeton University Laboratory Learning Program","Full-time summer research experience in science or engineering for high school students. Participants join a Princeton lab under faculty mentorship and conduct research tailored to their interests and schedule:contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}","Ages 16-18 (high school juniors and seniors)","STEM (Research)","https://research.princeton.edu/lab-learning","Summer (dates flexible per project)","Princeton, NJ","Free (no cost; unpaid academic program)"
"Meta Summer Academy (Facebook)","Summer internship program at Meta (Facebook) providing high school sophomores from certain communities insight into the operations of a leading tech company. Externs shadow employees and learn about careers in the tech industry:contentReference[oaicite:24]{index=24}:contentReference[oaicite:25]{index=25}","High school sophomores residing in East Palo Alto, Belle Haven, North Fair Oaks, or Redwood City","Technology/Business","https://metasummeracademy.com","Summer","Menlo Park, CA","Paid (stipend/salary provided)"
"KP LAUNCH (Kaiser Permanente) High School Internship","Paid summer internships in healthcare administration at Kaiser Permanente in Northern California. Interns (16-19) gain experience working in hospital departments, learn about healthcare operations, and receive mentorship in medical careers:contentReference[oaicite:26]{index=26}","Ages 16-19 (high school students)","Medicine/Healthcare","https://kplaunch.kaiserpermanente.org","Summer","Northern California (Oakland area and other locations)","Paid (hourly internship pay)"
"Sandia National Laboratories High School Intern Program","High school internships at Sandia Labs (national security research laboratories). Students contribute to real-world STEM projects that support Sandia’s mission in national defense, working alongside scientists and engineers:contentReference[oaicite:27]{index=27}","High school students (typically 16+, U.S. persons)","STEM (Engineering/Defense)","https://hr.sandia.gov/careers/students_postdocs/internships","Summer","Albuquerque, NM & other Sandia sites","Paid (stipend/hourly wage)"
"Stanford Institutes of Medicine Summer Research (SIMR)","8-week biomedical research internship at Stanford for high school students. Participants from diverse backgrounds work on a mentored research project in a Stanford laboratory and present their findings at the end:contentReference[oaicite:28]{index=28}","High school juniors and seniors (ages 16-18)","STEM (Biomedical Research)","https://simr.stanford.edu","Summer (8 weeks)","Stanford, CA","Free (no cost; funded by grants, may include stipend)"
"Tufts University Biomedical Engineering Research Scholars (TUBERS)","6-week summer program for high school students interested in biomedical engineering research. Students work in Tufts labs on research projects, receive mentorship from faculty and students, and the program is free of charge:contentReference[oaicite:29]{index=29}","High school juniors (age 16-17, rising seniors)","STEM (Biomedical Engineering)","https://www.tuftsBMErs.com","Summer (6 weeks)","Medford, MA","Free (no tuition cost to participants)"
"University of Michigan Aspirnaut Summer Research Internship","6-week summer research internship at University of Michigan for high school students from under-resourced rural or urban communities. Interns gain hands-on lab experience in basic science research under mentorship, to inspire interest in STEM careers:contentReference[oaicite:30]{index=30}:contentReference[oaicite:31]{index=31}","High school students from select rural or disadvantaged communities (Michigan)","STEM (Scientific Research)","https://aspirnaut.lsi.umich.edu","Summer (6 weeks)","Ann Arbor, MI","Free (no cost; housing/meals provided, stipend included)"
"MITES (MIT Introduction to Technology, Engineering, and Science)","6-week on-campus summer program at MIT for rising high school seniors from underrepresented or underserved backgrounds. Students take rigorous STEM courses, visit labs, and receive college admissions counseling while living at MIT (highly competitive):contentReference[oaicite:32]{index=32}","Rising high school seniors (U.S. citizens/permanent residents) from underrepresented backgrounds","STEM (Academic Enrichment)","https://mites.mit.edu","Summer (6 weeks)","Cambridge, MA","Free (tuition, room & board covered)"
"MGH Youth Scholars Program","Multi-year program at Massachusetts General Hospital supporting students in Boston, Chelsea, and Revere from 9th grade through 12th. Provides internships, mentoring, and educational support to prepare students for college and careers in STEM and healthcare:contentReference[oaicite:33]{index=33}","High school students in Boston area (grades 9-12)","Medicine/Healthcare","https://www.massgeneral.org/education/high-school-programs/youth-scholars","Year-round (4-year program with summer components)","Boston, MA","Free (no cost; stipends for certain internships)"
"NSA High School Work-Study (Student Intern Program)","Selective program allowing high school juniors/seniors to work part-time at the National Security Agency. Students gain exposure to cyber, engineering, or intelligence careers, earn a salary or scholarship, and must obtain security clearance:contentReference[oaicite:34]{index=34}","High school juniors or seniors (U.S. citizens, security clearance required)","STEM/Government","https://www.intelligencecareers.gov/nsa","School Year (part-time)","Fort Meade, MD and other NSA sites","Paid (hourly wage or scholarship for work-study)"
"TECH360 Coding Bootcamp","Intensive 3-week program where students learn web design and development through hands-on projects. Participants build websites and apps, working with instructors to gain coding skills in HTML, CSS, JavaScript:contentReference[oaicite:35]{index=35}","High school students (interest in coding)","STEM (Computer Science)","https://tech360bootcamp.com","Summer (3 weeks)","New York, NY","Paid (tuition-based program)"
"Expanding Horizons Internship (EHI)","Program for first-generation, college-bound high school students in Los Angeles, combining spring leadership training with a paid summer internship. Students attend skill-building seminars then intern at partner companies or government offices, gaining professional experience:contentReference[oaicite:36]{index=36}","First-generation high school juniors in Los Angeles (ages ~15-17)","Education/Non-Profit","https://www.teachdemocracy.org/expanding-horizons-internship","Spring training; Summer internship","Los Angeles, CA","Paid (summer internship stipend)"
"Los Angeles County District Attorney Teen Intern Program","Unpaid volunteer positions for high school students at the LA County District Attorney’s Office. Participants learn about the criminal justice system firsthand and assist staff (attorneys, investigators, support) with office tasks and community outreach:contentReference[oaicite:37]{index=37}","Ages 16-18 (high school)","Law/Legal","https://da.lacounty.gov/careers/student-internships","Year-round (applications open ongoing)","Los Angeles, CA","Unpaid (volunteer position)"
"U.S. DOJ Bureau of Prisons Pathways Internship","High school internships with the Federal Bureau of Prisons via the Pathways program. Student interns assist prison administration (HR, legal, finance, etc.), gaining exposure to federal corrections operations and policies:contentReference[oaicite:38]{index=38}","Ages 16-18; U.S. high school students (citizens)","Law/Government","https://www.usajobs.gov","Year-round (apply via USAJobs)","Varies (Federal Bureau of Prisons offices nationwide)","Paid (federal intern pay scale)"
"Los Angeles County Student Election Worker Program","High school students serve as poll workers in LA County elections, helping set up polling places, assist voters, and carry out election-day duties. Participants receive training and a stipend for each election served, while getting a hands-on civics experience:contentReference[oaicite:39]{index=39}","Ages 16-18; Los Angeles County high school students","Government/Civics","https://lavote.gov/home/voting-elections/pollworker-program/high-school","Election days (special events)","Los Angeles, CA","Paid (stipend per election day)"
"U.S. Army JAG Corps High School Intern (Paralegal Pathways)","Pathways internship in the U.S. Army Judge Advocate General’s Corps for high schoolers to serve as Student Trainees (Paralegal). Interns perform administrative and legal support duties in Army legal offices, gaining insight into military legal careers:contentReference[oaicite:40]{index=40}","Ages 16-18; U.S. citizens (high school juniors/seniors)","Law/Government","https://www.usajobs.gov","Year-round (as openings arise)","U.S. Army installations (various)","Paid (GS federal internship pay)"
"NYU High School Law Institute (HSLI)","Free Saturday program at NYU Law where law students teach high schoolers courses in constitutional law, criminal law, and debate. Talented NYC students attend weekly classes throughout the academic year to develop knowledge of the law and practice legal skills:contentReference[oaicite:41]{index=41}","NYC high school students (competitive application)","Law/Education","https://www.law.nyu.edu/highschoollawinstitute","Academic Year (Saturdays)","New York, NY","Free"
"Los Angeles City Attorney’s Office High School Internship","Internships for high school students at the LA City Attorney’s Office. Interns (age 16+) assist with clerical tasks, filing, case preparation, and learn about municipal law practice. Opportunities available year-round, offering exposure to public law careers:contentReference[oaicite:42]{index=42}","High school students ages 16+ in Los Angeles","Law/Public Sector","https://www.lacityattorney.org/internships","Year-round (semester or summer)","Los Angeles, CA","Unpaid (volunteer experience)"
"Saper Law Immersion Program (Chicago)","Week-long summer law camp at Saper Law Offices in Chicago that exposes high school and college students to the legal profession. Students participate in negotiation and writing exercises, field trips, and mock legal proceedings focusing on entertainment and technology law:contentReference[oaicite:43]{index=43}","High school and college students (ages ~15-22)","Law/Education","https://www.saperimmersion.com","Summer (1 week)","Chicago, IL","Paid (tuition-based summer program)"
"Manhattan District Attorney’s Office High School Internship","Highly competitive internships at the Manhattan DA’s Office for NYC high school students. Interns observe court proceedings, assist with case file organization, attend skill-building workshops, and learn about careers in prosecution:contentReference[oaicite:44]{index=44}","High school sophomores, juniors, seniors in NYC","Law/Legal","https://www.manhattanda.org/careers/internship-opportunities/","Summer","New York, NY","Unpaid (volunteer program, no cost)"
"Brooklyn District Attorney’s Office Internship Program","Offers high school (and college) students the chance to intern in the Brooklyn DA’s Office. Interns may assist in investigations, legal research, trial preparation, community outreach, and office support, gaining exposure to criminal justice careers:contentReference[oaicite:45]{index=45}","Ages 14-18 (high school); Brooklyn/NYC students","Law/Legal","https://brooklynda.org/internships/","Summer & School Year (sessions)","Brooklyn, NY","Unpaid (volunteer positions)"
"Temple of Understanding Summer Internship (United Nations)","NYC-based program where student interns (age 18) engage with the United Nations. Interns attend UN meetings (Security Council, General Assembly), meet with diplomats and NGOs, and learn about global issues and religions through field trips and service projects:contentReference[oaicite:46]{index=46}","Students age 18 (high school graduates or seniors) worldwide","International Relations","https://templeofunderstanding.org/internship","Summer (4-6 weeks)","New York, NY (United Nations HQ)","Unpaid (no cost; students cover personal expenses)"
"Thurgood Marshall Summer Law Internship Program (NYC Bar)","Program by the NYC Bar Association that places diverse NYC public high school juniors and seniors in summer internships at law firms, corporations, and legal organizations. Includes pre-internship training and post-internship activities to prepare for legal careers:contentReference[oaicite:47]{index=47}","NYC public high school juniors and seniors (ages 16-18)","Law","https://www.nycbar.org/ThurgoodMarshall","Summer","New York, NY","Unpaid (internships are generally unpaid; no program fee)"
"Ladders for Leaders (New York City)","A selective NYC initiative that offers high-achieving high school and college students paid summer internships at leading companies and organizations. Participants receive 30 hours of job training before placement and gain professional experience in fields of their interest:contentReference[oaicite:48]{index=48}","NYC students ages 16-21; 3.0+ GPA; prior work/volunteer experience","Business/Career Prep","https://www.nyc.gov/site/dycd/services/jobs-internships/ladders-for-leaders.page","Summer (6-8 weeks)","New York, NY","Paid (interns earn hourly wage; no cost to student)"
"Mercer County (NJ) High School Internship Program","A summer internship program run by Mercer County, NJ that provides paid positions for high school and college students in various county government departments. Interns gain practical work experience and attend professional development events (e.g., lunch & learn sessions):contentReference[oaicite:49]{index=49}","High school and college students in Mercer County, NJ","Government/Public Administration","https://www.mercercounty.org/departments/personnel/high-school-college-internship-program","Summer (8 weeks)","Mercer County, NJ","Paid (hourly wage)"
"City of New Haven Student Intern Program","Paid summer internships through the City of New Haven for local high school students. Interns are placed in city departments and given high-level work experiences related to their academic interests, preparing them for future careers in public service:contentReference[oaicite:50]{index=50}","High school students in New Haven, CT (ages ~16-18)","Government/Public Administration","https://www.newhavenct.gov","Summer","New Haven, CT","Paid (hourly wage)"
"Kentucky Governor’s Scholars Program (GSP)","Prestigious 5-week summer residential program for rising high school seniors in Kentucky. Students attend classes in various disciplines, participate in service-learning and leadership activities, and experience college life on a Kentucky college campus (tuition-free):contentReference[oaicite:51]{index=51}","Kentucky high school juniors (rising seniors) with strong academics","Academic Enrichment","https://gsp.ky.gov","Summer (5 weeks)","Kentucky (various college host campuses)","Free (fully funded by state and sponsors)"
"North Carolina Senate Page Program","Week-long program during legislative sessions where high school students serve as pages in the NC State Senate. Pages assist senators and clerks on the chamber floor, deliver messages, and participate in daily senate operations, gaining insight into the legislative process:contentReference[oaicite:52]{index=52}","North Carolina high school students (ages 15-18)","Government/Politics","https://www.ncleg.gov/Page","Spring (during state legislative session)","Raleigh, NC","Paid (stipend for the week)"
"UCLA Health Volunteen Summer Program","Summer volunteer program at UCLA hospitals for high school students interested in healthcare careers. Teens rotate through hospital departments, assisting staff and interacting with patients to gain clinical exposure and community service hours:contentReference[oaicite:53]{index=53}","High school students ages 16-18 (Los Angeles area)","Medicine/Healthcare","https://www.uclahealth.org/volunteer/high-school-students","Summer (60+ hours over 8 weeks)","Los Angeles, CA","Unpaid (volunteer; no cost to participate)"
"Stanford Medical Youth Science Program (SMYSP)","5-week summer residential enrichment program at Stanford for low-income or underrepresented high school juniors interested in medicine. Students take college-level science courses, engage in public health research projects, and receive mentoring for college and healthcare careers:contentReference[oaicite:54]{index=54}","High school juniors from low-income or underrepresented backgrounds (US)","Medicine/Academic","https://smysp.stanford.edu","Summer (5 weeks)","Stanford, CA","Free (fully funded; no tuition or housing cost)"
"Apollo Theater Academy High School Internship Program","Provides high school seniors with a paid opportunity for professional development in the arts and entertainment industry at Harlem’s Apollo Theater. Interns work in departments like programming, marketing, and production, and gain hands-on experience producing events:contentReference[oaicite:55]{index=55}","High school seniors (New York City)","Arts (Performing Arts)","https://www.apollotheater.org/education/apollo-theater-academy/","School Year (Spring)","New York, NY","Paid (stipend provided)"
"Los Angeles Public Library Teen Volunteer Programs","The Los Angeles Public Library offers several opportunities for teens to volunteer at local library branches. Programs include Teen Council (advisory boards), reading to children, tutoring, and assisting with library events – allowing students to develop leadership skills and serve their community:contentReference[oaicite:56]{index=56}","Teens ages 14-18 (Los Angeles residents)","Community Service","https://www.lapl.org/teens/volunteer","Year-round","Los Angeles, CA","Unpaid (volunteer; no cost)"
